order_id,customer_id,date,amount,currency
1000,306,2025-09-02,28.88,usd
1001,208,02/09/2025,60.72,EUR
1002,149,02/09/2025,71.76,EUR
1003,369,02/09/2025,135.19,EUR
1004,101,2025-09-02,200.98,usd
1005,213,2025-09-02,40.43,EUR
1006,372,02/09/2025,178.58,EUR
1007,479,2025-09-03,210.38,EUR
1008,79,2025-09-03,145.91,EUR
1009,181,2025-09-03,115.12,EUR
1010,286,20250903,87.42,EUR
1011,226,20250903,196.88,usd
1012,357,03/09/2025,46.91,usd
1013,436,20250903,237.59,EUR
1014,396,20250904,220.82,usd
1015,188,04/09/2025,107.8,EUR
1016,364,20250904,213.02,usd
1017,185,20250904,52.79,EUR
1018,53,20250904,118.41,usd
1019,165,20250904,211.72,usd
1020,51,2025-09-04,247.17,EUR
1021,212,04/09/2025,6.51,usd
1022,362,2025-09-04,66.75,EUR
1023,489,04/09/2025,120.89,EUR
1024,203,20250904,119.09,usd
1025,180,20250904,18.09,EUR
1026,455,2025-09-04,37.44,EUR
1027,352,20250904,57.86,usd
1028,241,2025-09-04,246.05,EUR
1029,482,20250904,170.2,usd
1030,19,04/09/2025,229.2,EUR
1031,99,04/09/2025,7.92,EUR
1032,147,20250904,166.53,EUR
1033,289,2025-09-04,170.6,EUR
1034,173,2025-09-04,192.39,usd
1035,15,05/09/2025,39.92,usd
1036,79,20250905,47.12,usd
1037,340,05/09/2025,214.33,EUR
1038,219,05/09/2025,166.32,EUR
1039,205,05/09/2025,205.7,EUR
1040,127,2025-09-05,144.92,EUR
1041,474,2025-09-05,89.2,EUR
1042,118,20250905,189.83,EUR
1043,496,05/09/2025,133.76,EUR
1044,129,2025-09-05,82.0,EUR
1045,185,06/09/2025,230.98,EUR
1046,59,06/09/2025,56.39,EUR
1047,481,20250906,26.24,EUR
1048,252,2025-09-06,196.14,EUR
1049,60,2025-09-06,203.31,EUR
1050,285,2025-09-06,21.73,EUR
1051,447,2025-09-06,242.63,EUR
1052,277,2025-09-06,162.46,usd
1053,343,2025-09-06,147.78,EUR
1054,284,2025-09-06,222.96,usd
1055,71,2025-09-06,119.36,usd
1056,150,20250906,172.73,EUR
1057,115,06/09/2025,12.9,EUR
